0,Domenico,Quarto,3939773246,mail@mail.com
1,Francesco,Rossi,3921234567,francesco.rossi@email.com
2,Francesca,Verdi,3938745432,fra.verdi@email.com
3,Giulia,Ferrari,3909876543,giulia.ferrari@email.com
4,Alessandro,Verdi,3938765432,alessandro.verdi@email.com
5,Sara,Neri,3920987654,sara.neri@email.com
6,Michele,Esposito,3919876543,michele.esposito@email.com
7,Martina,Russo,3908765432,martina.russo@email.com
8,Stefano,Romano,3923456789,stefano.romano@email.com
9,Elisa,Galli,3934567890,elisa.galli@email.com
10,Giorgio,Conti,3912340987,giorgio.conti@email.com

